sku_id,product_name,category,warehouse_id,warehouse_name,current_stock,safety_stock,reorder_point,unit_cost,supplier_id,lead_time_days,last_restock_date,stockout_flag,obsolete_flag
SKU00016,Electrical Component - Type 4,Electrical Components,W2,Chennai Hub,273,23,29,507.08,SUP008,40,2023-06-10,0,0
SKU00016,Electrical Component - Type 4,Electrical Components,W3,Pune Regional,429,32,41,507.08,SUP008,33,2023-06-10,0,0
SKU00016,Electrical Component - Type 4,Electrical Components,W4,Hyderabad DC,477,94,122,507.08,SUP008,21,2023-06-10,0,0
SKU00017,Electrical Component - Type 5,Electrical Components,W1,Bengaluru North DC,324,82,106,819.03,SUP008,16,2023-06-10,0,0
SKU00017,Electrical Component - Type 5,Electrical Components,W2,Chennai Hub,387,30,39,819.03,SUP008,28,2023-06-10,0,0
SKU00017,Electrical Component - Type 5,Electrical Components,W4,Hyderabad DC,70,28,36,819.03,SUP008,30,2023-06-10,0,0
SKU00018,Electrical Component - Type 6,Electrical Components,W1,Bengaluru North DC,69,29,37,516.7,SUP008,10,2023-06-10,0,0
SKU00018,Electrical Component - Type 6,Electrical Components,W2,Chennai Hub,377,62,80,516.7,SUP008,10,2023-06-10,0,0
SKU00018,Electrical Component - Type 6,Electrical Components,W4,Hyderabad DC,117,65,84,516.7,SUP008,6,2023-06-10,0,0
SKU00019,Electrical Component - Type 7,Electrical Components,W1,Bengaluru North DC,124,34,44,358.44,SUP008,44,2023-06-10,0,0
SKU00019,Electrical Component - Type 7,Electrical Components,W2,Chennai Hub,68,98,127,358.44,SUP008,49,2023-06-10,1,0
SKU00019,Electrical Component - Type 7,Electrical Components,W3,Pune Regional,474,27,35,358.44,SUP008,23,2023-06-10,0,0
SKU00019,Electrical Component - Type 7,Electrical Components,W4,Hyderabad DC,39,32,41,358.44,SUP008,44,2023-06-10,0,0
SKU00020,Electrical Component - Type 8,Electrical Components,W1,Bengaluru North DC,83,20,26,696.68,SUP008,7,2023-06-10,0,1
SKU00020,Electrical Component - Type 8,Electrical Components,W3,Pune Regional,72,89,115,696.68,SUP008,43,2023-06-10,1,0
SKU00020,Electrical Component - Type 8,Electrical Components,W4,Hyderabad DC,255,36,46,696.68,SUP008,37,2023-06-10,0,1
SKU00021,Electrical Component - Type 9,Electrical Components,W1,Bengaluru North DC,67,42,54,720.51,SUP008,42,2023-06-10,0,0
SKU00021,Electrical Component - Type 9,Electrical Components,W2,Chennai Hub,79,20,26,720.51,SUP008,16,2023-06-10,0,0
SKU00021,Electrical Component - Type 9,Electrical Components,W3,Pune Regional,95,46,59,720.51,SUP008,12,2023-06-10,0,0
SKU00021,Electrical Component - Type 9,Electrical Components,W4,Hyderabad DC,66,38,49,720.51,SUP008,5,2023-06-10,0,0
SKU00022,Electrical Component - Type 10,Electrical Components,W3,Pune Regional,342,81,105,396.61,SUP008,33,2023-06-10,0,0
SKU00022,Electrical Component - Type 10,Electrical Components,W4,Hyderabad DC,151,30,39,396.61,SUP008,30,2023-06-10,0,0
SKU00023,Electrical Component - Type 11,Electrical Components,W1,Bengaluru North DC,178,82,106,335.82,SUP008,29,2023-06-10,0,0
SKU00023,Electrical Component - Type 11,Electrical Components,W2,Chennai Hub,462,83,107,335.82,SUP008,15,2023-06-10,0,0
SKU00023,Electrical Component - Type 11,Electrical Components,W3,Pune Regional,244,94,122,335.82,SUP008,41,2023-06-10,0,0
SKU00024,Electrical Component - Type 12,Electrical Components,W1,Bengaluru North DC,255,65,84,439.12,SUP008,19,2023-06-10,0,0
SKU00024,Electrical Component - Type 12,Electrical Components,W2,Chennai Hub,377,70,91,439.12,SUP008,47,2023-06-10,0,0
SKU00024,Electrical Component - Type 12,Electrical Components,W3,Pune Regional,341,20,26,439.12,SUP008,7,2023-06-10,0,0
SKU00024,Electrical Component - Type 12,Electrical Components,W4,Hyderabad DC,28,97,126,439.12,SUP008,34,2023-06-10,1,0
SKU00025,Electrical Component - Type 13,Electrical Components,W2,Chennai Hub,310,90,117,400.14,SUP008,10,2023-06-10,0,0
SKU00025,Electrical Component - Type 13,Electrical Components,W3,Pune Regional,333,65,84,400.14,SUP008,13,2023-06-10,0,0
SKU00025,Electrical Component - Type 13,Electrical Components,W4,Hyderabad DC,15,95,123,400.14,SUP008,11,2023-06-10,1,0
SKU00026,Hand Tool - Type 1,Hand Tools,W2,Chennai Hub,97,96,124,523.51,SUP011,30,2025-12-01,0,0
SKU00026,Hand Tool - Type 1,Hand Tools,W3,Pune Regional,302,63,81,523.51,SUP011,9,2025-12-01,0,0
SKU00026,Hand Tool - Type 1,Hand Tools,W4,Hyderabad DC,202,97,126,523.51,SUP011,44,2025-12-01,0,0
SKU00027,Hand Tool - Type 2,Hand Tools,W1,Bengaluru North DC,342,93,120,933.87,SUP011,18,2025-12-01,0,0
SKU00027,Hand Tool - Type 2,Hand Tools,W2,Chennai Hub,184,33,42,933.87,SUP011,42,2025-12-01,0,0
SKU00027,Hand Tool - Type 2,Hand Tools,W3,Pune Regional,176,66,85,933.87,SUP011,13,2025-12-01,0,0
SKU00028,Hand Tool - Type 3,Hand Tools,W1,Bengaluru North DC,86,67,87,1242.64,SUP011,6,2025-12-01,0,0
SKU00028,Hand Tool - Type 3,Hand Tools,W2,Chennai Hub,36,57,74,1242.64,SUP011,44,2025-12-01,1,0
SKU00028,Hand Tool - Type 3,Hand Tools,W3,Pune Regional,272,47,61,1242.64,SUP011,9,2025-12-01,0,0
SKU00028,Hand Tool - Type 3,Hand Tools,W4,Hyderabad DC,329,48,62,1242.64,SUP011,42,2025-12-01,0,0
SKU00029,Hand Tool - Type 4,Hand Tools,W1,Bengaluru North DC,392,78,101,1396.1,SUP011,16,2025-12-01,0,0
SKU00029,Hand Tool - Type 4,Hand Tools,W2,Chennai Hub,224,90,117,1396.1,SUP011,6,2025-12-01,0,0
SKU00029,Hand Tool - Type 4,Hand Tools,W3,Pune Regional,493,24,31,1396.1,SUP011,13,2025-12-01,0,0
SKU00029,Hand Tool - Type 4,Hand Tools,W4,Hyderabad DC,415,61,79,1396.1,SUP011,16,2025-12-01,0,0
SKU00030,Hand Tool - Type 5,Hand Tools,W2,Chennai Hub,209,50,65,187.69,SUP010,28,2025-12-01,0,0
SKU00030,Hand Tool - Type 5,Hand Tools,W3,Pune Regional,371,62,80,187.69,SUP010,11,2025-12-01,0,1
SKU00030,Hand Tool - Type 5,Hand Tools,W4,Hyderabad DC,440,34,44,187.69,SUP010,22,2025-12-01,0,0
SKU00031,Hand Tool - Type 6,Hand Tools,W1,Bengaluru North DC,121,84,109,209.82,SUP011,25,2025-12-01,0,0
SKU00031,Hand Tool - Type 6,Hand Tools,W2,Chennai Hub,10,72,93,209.82,SUP011,40,2025-12-01,1,0
SKU00031,Hand Tool - Type 6,Hand Tools,W3,Pune Regional,164,96,124,209.82,SUP011,35,2025-12-01,0,0
SKU00031,Hand Tool - Type 6,Hand Tools,W4,Hyderabad DC,483,58,75,209.82,SUP011,41,2025-12-01,0,0
SKU00032,Hand Tool - Type 7,Hand Tools,W1,Bengaluru North DC,6,33,42,1423.8,SUP011,39,2025-12-01,1,0
SKU00032,Hand Tool - Type 7,Hand Tools,W3,Pune Regional,69,36,46,1423.8,SUP011,46,2025-12-01,0,0
SKU00033,Hand Tool - Type 8,Hand Tools,W1,Bengaluru North DC,341,70,91,388.5,SUP010,5,2025-12-01,0,0
SKU00033,Hand Tool - Type 8,Hand Tools,W2,Chennai Hub,216,43,55,388.5,SUP010,43,2025-12-01,0,0
SKU00033,Hand Tool - Type 8,Hand Tools,W3,Pune Regional,114,65,84,388.5,SUP010,26,2025-12-01,0,0
SKU00033,Hand Tool - Type 8,Hand Tools,W4,Hyderabad DC,145,63,81,388.5,SUP010,40,2025-12-01,0,0
SKU00034,Hand Tool - Type 9,Hand Tools,W1,Bengaluru North DC,87,28,36,349.68,SUP011,20,2025-12-01,0,0
SKU00034,Hand Tool - Type 9,Hand Tools,W2,Chennai Hub,62,36,46,349.68,SUP011,37,2025-12-01,0,0
SKU00034,Hand Tool - Type 9,Hand Tools,W3,Pune Regional,13,87,113,349.68,SUP011,45,2025-12-01,1,0
SKU00034,Hand Tool - Type 9,Hand Tools,W4,Hyderabad DC,58,39,50,349.68,SUP011,27,2025-12-01,0,0
SKU00035,Hand Tool - Type 10,Hand Tools,W1,Bengaluru North DC,444,48,62,986.97,SUP011,34,2025-12-01,0,0
SKU00035,Hand Tool - Type 10,Hand Tools,W2,Chennai Hub,249,72,93,986.97,SUP011,32,2025-12-01,0,0
SKU00035,Hand Tool - Type 10,Hand Tools,W3,Pune Regional,27,50,65,986.97,SUP011,33,2025-12-01,1,0
SKU00036,Hand Tool - Type 11,Hand Tools,W2,Chennai Hub,10,73,94,200.26,SUP010,21,2025-12-01,1,0
SKU00036,Hand Tool - Type 11,Hand Tools,W3,Pune Regional,479,45,58,200.26,SUP010,20,2025-12-01,0,0
SKU00037,Hand Tool - Type 12,Hand Tools,W1,Bengaluru North DC,381,52,67,1171.0,SUP011,39,2025-12-01,0,0
SKU00037,Hand Tool - Type 12,Hand Tools,W3,Pune Regional,204,67,87,1171.0,SUP011,40,2025-12-01,0,0
SKU00038,Hand Tool - Type 13,Hand Tools,W1,Bengaluru North DC,349,40,52,217.48,SUP010,16,2025-12-01,0,0
SKU00038,Hand Tool - Type 13,Hand Tools,W3,Pune Regional,412,90,117,217.48,SUP010,36,2025-12-01,0,0
SKU00038,Hand Tool - Type 13,Hand Tools,W4,Hyderabad DC,57,85,110,217.48,SUP010,49,2025-12-01,1,0
SKU00039,Hand Tool - Type 14,Hand Tools,W3,Pune Regional,6,81,105,828.95,SUP011,40,2025-12-01,1,0
SKU00039,Hand Tool - Type 14,Hand Tools,W4,Hyderabad DC,146,21,27,828.95,SUP011,32,2025-12-01,0,0
SKU00040,Hand Tool - Type 15,Hand Tools,W1,Bengaluru North DC,8,20,26,580.89,SUP010,32,2025-12-01,1,0
SKU00040,Hand Tool - Type 15,Hand Tools,W2,Chennai Hub,107,76,98,580.89,SUP010,28,2025-12-01,0,0
SKU00040,Hand Tool - Type 15,Hand Tools,W4,Hyderabad DC,153,50,65,580.89,SUP010,7,2025-12-01,0,0
SKU00041,Hand Tool - Type 16,Hand Tools,W1,Bengaluru North DC,295,28,36,1584.93,SUP010,18,2025-12-01,0,0
SKU00041,Hand Tool - Type 16,Hand Tools,W2,Chennai Hub,43,84,109,1584.93,SUP010,13,2025-12-01,1,1
SKU00041,Hand Tool - Type 16,Hand Tools,W3,Pune Regional,127,22,28,1584.93,SUP010,34,2025-12-01,0,0
SKU00041,Hand Tool - Type 16,Hand Tools,W4,Hyderabad DC,315,36,46,1584.93,SUP010,40,2025-12-01,0,0
SKU00042,Hand Tool - Type 17,Hand Tools,W1,Bengaluru North DC,334,73,94,790.38,SUP010,38,2025-12-01,0,0
SKU00042,Hand Tool - Type 17,Hand Tools,W2,Chennai Hub,0,95,123,790.38,SUP010,9,2025-12-01,1,1
SKU00042,Hand Tool - Type 17,Hand Tools,W3,Pune Regional,438,82,106,790.38,SUP010,22,2025-12-01,0,0
SKU00042,Hand Tool - Type 17,Hand Tools,W4,Hyderabad DC,312,21,27,790.38,SUP010,17,2025-12-01,0,0
SKU00043,Power Tool - Type 1,Power Tools,W1,Bengaluru North DC,283,26,33,5363.21,SUP009,45,2025-12-01,0,0
SKU00043,Power Tool - Type 1,Power Tools,W3,Pune Regional,159,20,26,5363.21,SUP009,38,2025-12-01,0,0
SKU00043,Power Tool - Type 1,Power Tools,W4,Hyderabad DC,79,78,101,5363.21,SUP009,32,2025-12-01,0,0
SKU00044,Power Tool - Type 2,Power Tools,W2,Chennai Hub,422,34,44,11785.11,SUP002,34,2025-12-01,0,0
SKU00044,Power Tool - Type 2,Power Tools,W3,Pune Regional,423,32,41,11785.11,SUP002,20,2025-12-01,0,0
SKU00045,Power Tool - Type 3,Power Tools,W1,Bengaluru North DC,103,72,93,12419.32,SUP008,11,2025-12-01,0,0
SKU00045,Power Tool - Type 3,Power Tools,W2,Chennai Hub,174,27,35,12419.32,SUP008,43,2025-12-01,0,0
SKU00045,Power Tool - Type 3,Power Tools,W4,Hyderabad DC,7,39,50,12419.32,SUP008,7,2025-12-01,1,0
SKU00046,Power Tool - Type 4,Power Tools,W1,Bengaluru North DC,38,65,84,8274.15,SUP012,26,2025-12-01,1,0
SKU00046,Power Tool - Type 4,Power Tools,W2,Chennai Hub,188,39,50,8274.15,SUP012,24,2025-12-01,0,0
SKU00046,Power Tool - Type 4,Power Tools,W3,Pune Regional,0,41,53,8274.15,SUP012,44,2025-12-01,1,0
SKU00046,Power Tool - Type 4,Power Tools,W4,Hyderabad DC,169,48,62,8274.15,SUP012,10,2025-12-01,0,0
SKU00047,Power Tool - Type 5,Power Tools,W2,Chennai Hub,222,26,33,15074.66,SUP011,6,2025-12-01,0,0
SKU00047,Power Tool - Type 5,Power Tools,W3,Pune Regional,75,53,68,15074.66,SUP011,25,2025-12-01,0,0
SKU00047,Power Tool - Type 5,Power Tools,W4,Hyderabad DC,351,39,50,15074.66,SUP011,9,2025-12-01,0,0
SKU00048,Power Tool - Type 6,Power Tools,W1,Bengaluru North DC,229,44,57,9611.0,SUP002,24,2025-12-01,0,0
SKU00048,Power Tool - Type 6,Power Tools,W2,Chennai Hub,496,78,101,9611.0,SUP002,14,2025-12-01,0,0
SKU00048,Power Tool - Type 6,Power Tools,W3,Pune Regional,239,37,48,9611.0,SUP002,28,2025-12-01,0,0
SKU00049,Power Tool - Type 7,Power Tools,W1,Bengaluru North DC,284,82,106,17561.61,SUP013,47,2025-12-01,0,0
SKU00049,Power Tool - Type 7,Power Tools,W2,Chennai Hub,187,78,101,17561.61,SUP013,33,2025-12-01,0,0
SKU00049,Power Tool - Type 7,Power Tools,W3,Pune Regional,499,45,58,17561.61,SUP013,40,2025-12-01,0,0
SKU00049,Power Tool - Type 7,Power Tools,W4,Hyderabad DC,296,23,29,17561.61,SUP013,48,2025-12-01,0,0
SKU00050,Power Tool - Type 8,Power Tools,W1,Bengaluru North DC,51,36,46,4296.93,SUP008,32,2025-12-01,0,0
SKU00050,Power Tool - Type 8,Power Tools,W2,Chennai Hub,453,85,110,4296.93,SUP008,34,2025-12-01,0,0
SKU00050,Power Tool - Type 8,Power Tools,W3,Pune Regional,379,20,26,4296.93,SUP008,9,2025-12-01,0,0
SKU00050,Power Tool - Type 8,Power Tools,W4,Hyderabad DC,21,53,68,4296.93,SUP008,31,2025-12-01,1,0
SKU00051,Power Tool - Type 9,Power Tools,W1,Bengaluru North DC,319,74,96,11319.42,SUP012,44,2025-12-01,0,0
SKU00051,Power Tool - Type 9,Power Tools,W2,Chennai Hub,458,36,46,11319.42,SUP012,47,2025-12-01,0,0
SKU00051,Power Tool - Type 9,Power Tools,W3,Pune Regional,191,87,113,11319.42,SUP012,26,2025-12-01,0,0
SKU00051,Power Tool - Type 9,Power Tools,W4,Hyderabad DC,335,80,104,11319.42,SUP012,19,2025-12-01,0,0
SKU00052,Power Tool - Type 10,Power Tools,W3,Pune Regional,180,31,40,5929.22,SUP005,11,2025-12-01,0,0
SKU00052,Power Tool - Type 10,Power Tools,W4,Hyderabad DC,359,30,39,5929.22,SUP005,26,2025-12-01,0,0
SKU00053,Power Tool - Type 11,Power Tools,W2,Chennai Hub,370,54,70,5267.66,SUP010,16,2025-12-01,0,0
SKU00053,Power Tool - Type 11,Power Tools,W3,Pune Regional,150,81,105,5267.66,SUP010,30,2025-12-01,0,0
SKU00053,Power Tool - Type 11,Power Tools,W4,Hyderabad DC,460,47,61,5267.66,SUP010,9,2025-12-01,0,0
SKU00054,Power Tool - Type 12,Power Tools,W2,Chennai Hub,235,42,54,5572.02,SUP012,27,2025-12-01,0,0
SKU00054,Power Tool - Type 12,Power Tools,W3,Pune Regional,36,28,36,5572.02,SUP012,48,2025-12-01,0,0
SKU00054,Power Tool - Type 12,Power Tools,W4,Hyderabad DC,336,34,44,5572.02,SUP012,14,2025-12-01,0,0
SKU00055,Power Tool - Type 13,Power Tools,W1,Bengaluru North DC,167,29,37,1387.89,SUP003,8,2025-12-01,0,0
SKU00055,Power Tool - Type 13,Power Tools,W3,Pune Regional,242,23,29,1387.89,SUP003,15,2025-12-01,0,0
SKU00056,Power Tool - Type 14,Power Tools,W1,Bengaluru North DC,136,39,50,9363.96,SUP005,5,2025-12-01,0,0
SKU00056,Power Tool - Type 14,Power Tools,W2,Chennai Hub,343,94,122,9363.96,SUP005,25,2025-12-01,0,0
SKU00056,Power Tool - Type 14,Power Tools,W3,Pune Regional,124,78,101,9363.96,SUP005,48,2025-12-01,0,0
SKU00057,Power Tool - Type 15,Power Tools,W1,Bengaluru North DC,143,83,107,2350.47,SUP003,34,2025-12-01,0,0
SKU00057,Power Tool - Type 15,Power Tools,W2,Chennai Hub,226,88,114,2350.47,SUP003,36,2025-12-01,0,0
SKU00057,Power Tool - Type 15,Power Tools,W4,Hyderabad DC,51,79,102,2350.47,SUP003,34,2025-12-01,1,0
SKU00058,Power Tool - Type 16,Power Tools,W1,Bengaluru North DC,444,30,39,7375.58,SUP014,37,2025-12-01,0,0
SKU00058,Power Tool - Type 16,Power Tools,W2,Chennai Hub,34,45,58,7375.58,SUP014,24,2025-12-01,1,0
SKU00058,Power Tool - Type 16,Power Tools,W3,Pune Regional,133,73,94,7375.58,SUP014,24,2025-12-01,0,0
SKU00058,Power Tool - Type 16,Power Tools,W4,Hyderabad DC,471,98,127,7375.58,SUP014,10,2025-12-01,0,0
SKU00059,Power Tool - Type 17,Power Tools,W1,Bengaluru North DC,410,74,96,7824.17,SUP012,41,2025-12-01,0,0
SKU00059,Power Tool - Type 17,Power Tools,W2,Chennai Hub,164,98,127,7824.17,SUP012,40,2025-12-01,0,0
SKU00059,Power Tool - Type 17,Power Tools,W3,Pune Regional,35,75,97,7824.17,SUP012,10,2025-12-01,1,1
SKU00059,Power Tool - Type 17,Power Tools,W4,Hyderabad DC,481,32,41,7824.17,SUP012,37,2025-12-01,0,0
SKU00060,Power Tool - Type 18,Power Tools,W1,Bengaluru North DC,42,92,119,2838.69,SUP012,42,2025-12-01,1,1
SKU00060,Power Tool - Type 18,Power Tools,W3,Pune Regional,45,67,87,2838.69,SUP012,45,2025-12-01,1,0
SKU00060,Power Tool - Type 18,Power Tools,W4,Hyderabad DC,92,71,92,2838.69,SUP012,36,2025-12-01,0,0
SKU00061,Power Tool - Type 19,Power Tools,W2,Chennai Hub,361,34,44,6929.75,SUP011,13,2025-12-01,0,0
SKU00061,Power Tool - Type 19,Power Tools,W3,Pune Regional,360,65,84,6929.75,SUP011,19,2025-12-01,0,0
SKU00061,Power Tool - Type 19,Power Tools,W4,Hyderabad DC,237,70,91,6929.75,SUP011,46,2025-12-01,0,0
SKU00062,Power Tool - Type 20,Power Tools,W1,Bengaluru North DC,280,53,68,12635.78,SUP007,14,2025-12-01,0,0
SKU00062,Power Tool - Type 20,Power Tools,W3,Pune Regional,20,80,104,12635.78,SUP007,27,2025-12-01,1,0
SKU00063,Safety Equipment - Type 1,Safety Equipment,W1,Bengaluru North DC,25,74,96,1450.22,SUP005,15,2025-12-01,1,0
SKU00063,Safety Equipment - Type 1,Safety Equipment,W2,Chennai Hub,477,85,110,1450.22,SUP005,32,2025-12-01,0,1
SKU00063,Safety Equipment - Type 1,Safety Equipment,W3,Pune Regional,471,98,127,1450.22,SUP005,21,2025-12-01,0,0
SKU00063,Safety Equipment - Type 1,Safety Equipment,W4,Hyderabad DC,241,41,53,1450.22,SUP005,46,2025-12-01,0,0
SKU00064,Safety Equipment - Type 2,Safety Equipment,W1,Bengaluru North DC,30,66,85,225.36,SUP005,27,2025-12-01,1,0
SKU00064,Safety Equipment - Type 2,Safety Equipment,W2,Chennai Hub,411,23,29,225.36,SUP005,22,2025-12-01,0,0
SKU00064,Safety Equipment - Type 2,Safety Equipment,W3,Pune Regional,230,58,75,225.36,SUP005,21,2025-12-01,0,0
SKU00064,Safety Equipment - Type 2,Safety Equipment,W4,Hyderabad DC,127,79,102,225.36,SUP005,20,2025-12-01,0,0
SKU00065,Safety Equipment - Type 3,Safety Equipment,W1,Bengaluru North DC,296,34,44,1314.52,SUP005,39,2025-12-01,0,0
SKU00065,Safety Equipment - Type 3,Safety Equipment,W2,Chennai Hub,423,90,117,1314.52,SUP005,33,2025-12-01,0,0
SKU00065,Safety Equipment - Type 3,Safety Equipment,W3,Pune Regional,384,81,105,1314.52,SUP005,10,2025-12-01,0,0
SKU00065,Safety Equipment - Type 3,Safety Equipment,W4,Hyderabad DC,330,80,104,1314.52,SUP005,11,2025-12-01,0,1
SKU00066,Safety Equipment - Type 4,Safety Equipment,W1,Bengaluru North DC,354,43,55,1506.09,SUP005,40,2025-12-01,0,0
