po_id,po_date,supplier_id,supplier_name,warehouse_id,product_id,product_name,quantity_ordered,quantity_received,expected_delivery_date,actual_delivery_date,status,unit_cost
PO900031,2023-02-24,SUP011,Everest Hardware,W4,SKU00037,Hand Tool - Type 12,1576,1576,2023-03-17,2023-03-20,received,1171.0
PO900032,2023-02-24,SUP007,Titan Tools India,W3,SKU00110,Adhesives & Sealant - Type 2,1552,1552,2023-03-10,2023-03-10,received,225.64
PO900033,2023-02-27,SUP012,Coastal Metal Traders,W2,SKU00080,Plumbing Supplie - Type 4,593,593,2023-04-08,2023-04-08,received,507.75
PO900034,2023-02-27,SUP015,Krishna Tools & Dies,W2,SKU00137,Bearing - Type 11,1976,1976,2023-03-06,2023-03-06,received,645.58
PO900035,2023-02-27,SUP009,National Pipe & Fittings,W2,SKU00102,Pipes & Fitting - Type 9,1304,1304,2023-03-24,2023-03-24,received,706.93
PO900036,2023-03-02,SUP004,Voltek Electricals,W1,SKU00007,Fastener - Type 7,692,692,2023-03-22,2023-03-22,received,57.01
PO900037,2023-03-05,SUP001,Ashoka Steel Works,W1,SKU00130,Bearing - Type 4,1950,1950,2023-03-27,2023-03-27,received,1527.22
PO900038,2023-03-05,SUP009,National Pipe & Fittings,W4,SKU00098,Pipes & Fitting - Type 5,990,990,2023-03-30,2023-03-30,received,958.68
PO900039,2023-03-08,SUP003,Precision Bearings Ltd,W1,SKU00132,Bearing - Type 6,1925,1925,2023-04-15,2023-04-15,received,804.38
PO900040,2023-03-11,SUP008,Sunrise Adhesives,W2,SKU00022,Electrical Component - Type 10,582,582,2023-03-30,2023-03-30,received,396.61
PO900041,2023-03-11,SUP007,Titan Tools India,W3,SKU00123,Adhesives & Sealant - Type 15,891,891,2023-03-25,2023-03-25,received,459.67
PO900042,2023-03-14,SUP011,Everest Hardware,W1,SKU00030,Hand Tool - Type 5,1967,1967,2023-04-04,2023-04-04,received,187.69
PO900043,2023-03-17,SUP004,Voltek Electricals,W1,SKU00008,Fastener - Type 8,978,978,2023-04-06,2023-04-06,received,43.82
PO900044,2023-03-17,SUP003,Precision Bearings Ltd,W3,SKU00138,Bearing - Type 12,1225,1225,2023-04-24,2023-04-24,received,989.79
PO900045,2023-03-20,SUP014,Vishal Steel Traders,W2,SKU00118,Adhesives & Sealant - Type 10,1174,1174,2023-04-24,2023-04-24,received,521.78
PO900046,2023-03-20,SUP009,National Pipe & Fittings,W1,SKU00105,Pipes & Fitting - Type 12,701,701,2023-04-14,2023-04-14,received,1074.46
PO900047,2023-03-23,SUP003,Precision Bearings Ltd,W4,SKU00138,Bearing - Type 12,570,570,2023-04-30,2023-04-30,received,989.79
PO900048,2023-03-23,SUP014,Vishal Steel Traders,W4,SKU00115,Adhesives & Sealant - Type 7,1512,1512,2023-04-27,2023-04-27,received,464.49
PO900049,2023-03-26,SUP010,LumaTech Lighting,W1,SKU00037,Hand Tool - Type 12,972,972,2023-04-24,2023-04-26,received,1171.0
PO900050,2023-03-29,SUP002,Bharat Fastener Co.,W2,SKU00120,Adhesives & Sealant - Type 12,1488,1488,2023-05-05,2023-05-05,received,310.21
PO900051,2023-03-29,SUP006,Deccan Plumbing Supplies,W4,SKU00130,Bearing - Type 4,846,846,2023-04-14,2023-04-14,received,1527.22
PO900052,2023-04-01,SUP002,Bharat Fastener Co.,W4,SKU00119,Adhesives & Sealant - Type 11,1195,1195,2023-05-08,2023-05-12,delayed,324.25
PO900053,2023-04-04,SUP011,Everest Hardware,W1,SKU00035,Hand Tool - Type 10,1654,1654,2023-04-25,2023-04-25,received,986.97
PO900054,2023-04-04,SUP004,Voltek Electricals,W2,SKU00008,Fastener - Type 8,280,280,2023-04-24,2023-05-07,delayed,43.82
PO900055,2023-04-04,SUP007,Titan Tools India,W3,SKU00110,Adhesives & Sealant - Type 2,1843,1843,2023-04-18,2023-04-18,received,225.64
PO900056,2023-04-07,SUP009,National Pipe & Fittings,W4,SKU00096,Pipes & Fitting - Type 3,1708,1708,2023-05-02,2023-05-02,received,1065.77
PO900057,2023-04-07,SUP006,Deccan Plumbing Supplies,W3,SKU00130,Bearing - Type 4,488,0,2023-04-23,,cancelled,1527.22
PO900058,2023-04-07,SUP004,Voltek Electricals,W1,SKU00011,Fastener - Type 11,1557,1557,2023-04-27,2023-05-30,delayed,38.29
PO900059,2023-04-10,SUP013,Apex Industrial Components,W1,SKU00003,Fastener - Type 3,258,258,2023-05-18,2023-06-02,delayed,21.09
PO900060,2023-04-13,SUP005,SafeGuard PPE Manufacturing,W4,SKU00066,Safety Equipment - Type 4,1962,1962,2023-05-11,2023-05-11,received,1506.09
PO900061,2023-04-13,SUP015,Krishna Tools & Dies,W1,SKU00127,Bearing - Type 1,1309,1309,2023-04-20,2023-05-19,delayed,407.58
PO900062,2023-04-16,SUP005,SafeGuard PPE Manufacturing,W4,SKU00070,Safety Equipment - Type 8,1028,1028,2023-05-14,2023-05-14,received,121.19
PO900063,2023-04-16,SUP013,Apex Industrial Components,W4,SKU00007,Fastener - Type 7,644,0,2023-05-24,,cancelled,57.01
PO900064,2023-04-16,SUP006,Deccan Plumbing Supplies,W1,SKU00132,Bearing - Type 6,1503,1503,2023-05-02,2023-05-26,delayed,804.38
PO900065,2023-04-19,SUP007,Titan Tools India,W1,SKU00125,Adhesives & Sealant - Type 17,1300,1300,2023-05-03,2023-05-03,received,76.43
PO900066,2023-04-22,SUP003,Precision Bearings Ltd,W3,SKU00128,Bearing - Type 2,804,804,2023-05-30,2023-06-12,delayed,1917.4
PO900067,2023-04-22,SUP005,SafeGuard PPE Manufacturing,W1,SKU00067,Safety Equipment - Type 5,1253,1253,2023-05-20,2023-05-20,received,1005.65
PO900068,2023-04-22,SUP008,Sunrise Adhesives,W1,SKU00018,Electrical Component - Type 6,1803,1803,2023-05-11,2023-06-05,delayed,516.7
PO900069,2023-04-25,SUP007,Titan Tools India,W3,SKU00112,Adhesives & Sealant - Type 4,820,820,2023-05-09,2023-05-09,received,211.27
PO900070,2023-04-25,SUP009,National Pipe & Fittings,W3,SKU00095,Pipes & Fitting - Type 2,243,243,2023-05-20,2023-05-20,received,1087.9
PO900071,2023-04-28,SUP012,Coastal Metal Traders,W1,SKU00080,Plumbing Supplie - Type 4,1850,1850,2023-06-07,2023-06-07,received,507.75
PO900072,2023-04-28,SUP006,Deccan Plumbing Supplies,W4,SKU00138,Bearing - Type 12,1259,1259,2023-05-14,2023-06-07,delayed,989.79
PO900073,2023-04-28,SUP010,LumaTech Lighting,W4,SKU00026,Hand Tool - Type 1,1313,1313,2023-05-27,2023-05-27,received,523.51
PO900074,2023-05-01,SUP005,SafeGuard PPE Manufacturing,W4,SKU00072,Safety Equipment - Type 10,1896,1896,2023-05-29,2023-05-29,received,1273.06
PO900075,2023-05-01,SUP012,Coastal Metal Traders,W3,SKU00085,Plumbing Supplie - Type 9,378,378,2023-06-10,2023-06-10,received,525.29
PO900076,2023-05-01,SUP005,SafeGuard PPE Manufacturing,W4,SKU00068,Safety Equipment - Type 6,1936,1936,2023-05-29,2023-05-29,received,1088.51
PO900077,2023-05-04,SUP010,LumaTech Lighting,W1,SKU00040,Hand Tool - Type 15,784,784,2023-06-02,2023-06-02,received,580.89
PO900078,2023-05-04,SUP007,Titan Tools India,W2,SKU00122,Adhesives & Sealant - Type 14,739,739,2023-05-18,2023-05-18,received,259.27
PO900079,2023-05-04,SUP003,Precision Bearings Ltd,W2,SKU00132,Bearing - Type 6,1577,1577,2023-06-11,2023-07-12,delayed,804.38
PO900080,2023-05-07,SUP002,Bharat Fastener Co.,W4,SKU00116,Adhesives & Sealant - Type 8,1538,1538,2023-06-13,2023-06-15,received,356.93
PO900081,2023-05-07,SUP004,Voltek Electricals,W1,SKU00001,Fastener - Type 1,1033,1033,2023-05-27,2023-06-30,delayed,6.92
PO900082,2023-05-10,SUP014,Vishal Steel Traders,W2,SKU00118,Adhesives & Sealant - Type 10,1248,1248,2023-06-14,2023-06-14,received,521.78
PO900083,2023-05-10,SUP013,Apex Industrial Components,W2,SKU00011,Fastener - Type 11,1185,954,2023-06-17,2023-07-11,delayed,38.29
PO900084,2023-05-13,SUP005,SafeGuard PPE Manufacturing,W2,SKU00073,Safety Equipment - Type 11,328,328,2023-06-10,2023-06-10,received,1841.77
PO900085,2023-05-16,SUP007,Titan Tools India,W4,SKU00126,Adhesives & Sealant - Type 18,737,737,2023-05-30,2023-05-30,received,352.46
PO900086,2023-05-19,SUP014,Vishal Steel Traders,W2,SKU00115,Adhesives & Sealant - Type 7,1437,1437,2023-06-23,2023-06-23,received,464.49
PO900087,2023-05-19,SUP003,Precision Bearings Ltd,W4,SKU00134,Bearing - Type 8,532,532,2023-06-26,2023-07-26,delayed,499.59
PO900088,2023-05-22,SUP012,Coastal Metal Traders,W4,SKU00082,Plumbing Supplie - Type 6,1856,1856,2023-07-01,2023-07-01,received,907.68
PO900089,2023-05-22,SUP004,Voltek Electricals,W3,SKU00011,Fastener - Type 11,846,846,2023-06-11,2023-06-30,delayed,38.29
PO900090,2023-05-22,SUP011,Everest Hardware,W1,SKU00034,Hand Tool - Type 9,1083,1083,2023-06-12,2023-06-12,received,349.68
PO900091,2023-05-25,SUP008,Sunrise Adhesives,W3,SKU00025,Electrical Component - Type 13,184,184,2023-06-13,2023-06-30,delayed,400.14
PO900092,2023-05-28,SUP001,Ashoka Steel Works,W4,SKU00131,Bearing - Type 5,178,178,2023-06-19,2023-07-03,delayed,1857.62
PO900093,2023-05-28,SUP001,Ashoka Steel Works,W4,SKU00127,Bearing - Type 1,700,700,2023-06-19,2023-07-25,delayed,407.58
PO900094,2023-05-31,SUP008,Sunrise Adhesives,W2,SKU00013,Electrical Component - Type 1,1142,1142,2023-06-19,2023-07-08,delayed,283.87
PO900095,2023-05-31,SUP011,Everest Hardware,W1,SKU00028,Hand Tool - Type 3,1830,1830,2023-06-21,2023-06-23,received,1242.64
PO900096,2023-05-31,SUP004,Voltek Electricals,W4,SKU00006,Fastener - Type 6,1307,0,2023-06-20,,cancelled,11.09
PO900097,2023-06-03,SUP009,National Pipe & Fittings,W4,SKU00107,Pipes & Fitting - Type 14,53,53,2023-06-28,2023-06-28,received,529.43
PO900098,2023-06-03,SUP009,National Pipe & Fittings,W1,SKU00098,Pipes & Fitting - Type 5,525,525,2023-06-28,2023-06-28,received,958.68
PO900099,2023-06-03,SUP008,Sunrise Adhesives,W2,SKU00021,Electrical Component - Type 9,287,287,2023-06-22,2023-07-16,delayed,720.51
PO900100,2023-06-06,SUP006,Deccan Plumbing Supplies,W2,SKU00129,Bearing - Type 3,273,273,2023-06-22,2023-07-05,delayed,1034.83
PO900101,2023-06-09,SUP009,National Pipe & Fittings,W3,SKU00099,Pipes & Fitting - Type 6,1666,1666,2023-07-04,2023-07-04,received,560.49
PO900102,2023-06-09,SUP010,LumaTech Lighting,W1,SKU00042,Hand Tool - Type 17,1500,1500,2023-07-08,2023-07-08,received,790.38
PO900103,2023-06-09,SUP013,Apex Industrial Components,W1,SKU00010,Fastener - Type 10,609,609,2023-07-17,2023-08-10,delayed,21.36
PO900104,2023-06-12,SUP004,Voltek Electricals,W1,SKU00005,Fastener - Type 5,713,713,2023-07-02,2023-08-03,delayed,41.97
PO900105,2023-06-15,SUP008,Sunrise Adhesives,W4,SKU00014,Electrical Component - Type 2,739,739,2023-07-04,2023-08-12,delayed,438.65
PO900106,2023-06-15,SUP009,National Pipe & Fittings,W4,SKU00106,Pipes & Fitting - Type 13,1736,1736,2023-07-10,2023-07-14,delayed,668.3
PO900107,2023-06-18,SUP007,Titan Tools India,W1,SKU00125,Adhesives & Sealant - Type 17,1758,1758,2023-07-02,2023-07-02,received,76.43
PO900108,2023-06-18,SUP004,Voltek Electricals,W3,SKU00002,Fastener - Type 2,1407,0,2023-07-08,,cancelled,22.21
PO900109,2023-06-21,SUP010,LumaTech Lighting,W4,SKU00032,Hand Tool - Type 7,567,567,2023-07-20,2023-07-24,delayed,1423.8
PO900110,2023-06-24,SUP004,Voltek Electricals,W4,SKU00011,Fastener - Type 11,582,582,2023-07-14,2023-08-06,delayed,38.29
PO900111,2023-06-24,SUP013,Apex Industrial Components,W1,SKU00004,Fastener - Type 4,1690,0,2023-08-01,,cancelled,12.18
PO900112,2023-06-24,SUP011,Everest Hardware,W2,SKU00030,Hand Tool - Type 5,1577,1577,2023-07-15,2023-07-15,received,187.69
PO900113,2023-06-27,SUP014,Vishal Steel Traders,W1,SKU00126,Adhesives & Sealant - Type 18,575,575,2023-08-01,2023-08-03,received,352.46
PO900114,2023-06-27,SUP011,Everest Hardware,W4,SKU00041,Hand Tool - Type 16,1140,1140,2023-07-18,2023-07-18,received,1584.93
PO900115,2023-06-30,SUP007,Titan Tools India,W3,SKU00115,Adhesives & Sealant - Type 7,1887,1887,2023-07-14,2023-07-17,received,464.49
PO900116,2023-06-30,SUP010,LumaTech Lighting,W1,SKU00028,Hand Tool - Type 3,1540,1540,2023-07-29,2023-07-29,received,1242.64
PO900117,2023-07-03,SUP007,Titan Tools India,W4,SKU00124,Adhesives & Sealant - Type 16,1324,1324,2023-07-17,2023-07-17,received,407.16
PO900118,2023-07-06,SUP008,Sunrise Adhesives,W4,SKU00024,Electrical Component - Type 12,453,453,2023-07-25,2023-08-06,delayed,439.12
PO900119,2023-07-06,SUP011,Everest Hardware,W2,SKU00030,Hand Tool - Type 5,134,134,2023-07-27,2023-07-27,received,187.69
PO900120,2023-07-06,SUP007,Titan Tools India,W2,SKU00113,Adhesives & Sealant - Type 5,1624,1624,2023-07-20,2023-07-22,received,554.18
PO900121,2023-07-09,SUP007,Titan Tools India,W1,SKU00116,Adhesives & Sealant - Type 8,1836,1836,2023-07-23,2023-07-23,received,356.93
PO900122,2023-07-09,SUP007,Titan Tools India,W3,SKU00111,Adhesives & Sealant - Type 3,1581,1581,2023-07-23,2023-07-23,received,337.6
PO900123,2023-07-09,SUP007,Titan Tools India,W3,SKU00117,Adhesives & Sealant - Type 9,1052,1052,2023-07-23,2023-07-23,received,168.2
PO900124,2023-07-12,SUP002,Bharat Fastener Co.,W1,SKU00121,Adhesives & Sealant - Type 13,323,323,2023-08-18,2023-08-18,received,266.53
PO900125,2023-07-15,SUP006,Deccan Plumbing Supplies,W4,SKU00130,Bearing - Type 4,1210,1210,2023-07-31,2023-09-08,delayed,1527.22
PO900126,2023-07-15,SUP011,Everest Hardware,W1,SKU00030,Hand Tool - Type 5,451,451,2023-08-05,2023-08-05,received,187.69
PO900127,2023-07-18,SUP014,Vishal Steel Traders,W2,SKU00111,Adhesives & Sealant - Type 3,1384,1384,2023-08-22,2023-08-25,received,337.6
PO900128,2023-07-21,SUP013,Apex Industrial Components,W1,SKU00007,Fastener - Type 7,1998,1998,2023-08-28,2023-10-05,delayed,57.01
PO900129,2023-07-21,SUP010,LumaTech Lighting,W4,SKU00030,Hand Tool - Type 5,1010,1010,2023-08-19,2023-08-21,received,187.69
PO900130,2023-07-24,SUP007,Titan Tools India,W4,SKU00115,Adhesives & Sealant - Type 7,1147,1147,2023-08-07,2023-08-07,received,464.49
PO900131,2023-07-24,SUP001,Ashoka Steel Works,W1,SKU00137,Bearing - Type 11,365,365,2023-08-15,2023-09-07,delayed,645.58
PO900132,2023-07-24,SUP003,Precision Bearings Ltd,W2,SKU00137,Bearing - Type 11,975,975,2023-08-31,2023-10-02,delayed,645.58
PO900133,2023-07-27,SUP010,LumaTech Lighting,W4,SKU00042,Hand Tool - Type 17,1445,1445,2023-08-25,2023-08-25,received,790.38
PO900134,2023-07-27,SUP014,Vishal Steel Traders,W3,SKU00110,Adhesives & Sealant - Type 2,1147,1147,2023-08-31,2023-08-31,received,225.64
PO900135,2023-07-27,SUP013,Apex Industrial Components,W2,SKU00009,Fastener - Type 9,95,95,2023-09-03,2023-10-02,delayed,27.59
PO900136,2023-07-30,SUP010,LumaTech Lighting,W2,SKU00041,Hand Tool - Type 16,1438,1438,2023-08-28,2023-08-28,received,1584.93
PO900137,2023-07-30,SUP006,Deccan Plumbing Supplies,W4,SKU00135,Bearing - Type 9,597,597,2023-08-15,2023-09-20,delayed,1883.55
PO900138,2023-07-30,SUP006,Deccan Plumbing Supplies,W3,SKU00131,Bearing - Type 5,293,0,2023-08-15,,cancelled,1857.62
PO900139,2023-08-02,SUP011,Everest Hardware,W4,SKU00033,Hand Tool - Type 8,746,746,2023-08-23,2023-08-23,received,388.5
PO900140,2023-08-02,SUP011,Everest Hardware,W4,SKU00038,Hand Tool - Type 13,1914,1914,2023-08-23,2023-08-23,received,217.48
PO900141,2023-08-02,SUP012,Coastal Metal Traders,W4,SKU00082,Plumbing Supplie - Type 6,197,197,2023-09-11,2023-09-11,received,907.68
PO900142,2023-08-05,SUP009,National Pipe & Fittings,W3,SKU00094,Pipes & Fitting - Type 1,200,200,2023-08-30,2023-08-30,received,482.18
PO900143,2023-08-05,SUP011,Everest Hardware,W2,SKU00040,Hand Tool - Type 15,1861,1861,2023-08-26,2023-08-26,received,580.89
PO900144,2023-08-05,SUP015,Krishna Tools & Dies,W1,SKU00137,Bearing - Type 11,1817,1817,2023-08-12,2023-08-12,received,645.58
PO900145,2023-08-08,SUP001,Ashoka Steel Works,W2,SKU00127,Bearing - Type 1,65,65,2023-08-30,2023-08-30,received,407.58
PO900146,2023-08-11,SUP014,Vishal Steel Traders,W3,SKU00112,Adhesives & Sealant - Type 4,594,594,2023-09-15,2023-09-17,received,211.27
PO900147,2023-08-14,SUP011,Everest Hardware,W2,SKU00040,Hand Tool - Type 15,1303,1303,2023-09-04,2023-09-04,received,580.89
PO900148,2023-08-14,SUP012,Coastal Metal Traders,W3,SKU00077,Plumbing Supplie - Type 1,1891,0,2023-09-23,,cancelled,667.06
PO900149,2023-08-14,SUP006,Deccan Plumbing Supplies,W1,SKU00136,Bearing - Type 10,215,215,2023-08-30,2023-09-03,delayed,432.85
PO900150,2023-08-17,SUP001,Ashoka Steel Works,W2,SKU00137,Bearing - Type 11,549,549,2023-09-08,2023-09-08,received,645.58
PO900151,2023-08-17,SUP002,Bharat Fastener Co.,W3,SKU00112,Adhesives & Sealant - Type 4,919,919,2023-09-23,2023-09-23,received,211.27
PO900152,2023-08-20,SUP011,Everest Hardware,W1,SKU00036,Hand Tool - Type 11,533,533,2023-09-10,2023-09-10,received,200.26
PO900153,2023-08-23,SUP015,Krishna Tools & Dies,W3,SKU00139,Bearing - Type 13,1432,1432,2023-08-30,2023-09-03,delayed,2355.14
PO900154,2023-08-23,SUP015,Krishna Tools & Dies,W1,SKU00138,Bearing - Type 12,546,546,2023-08-30,2023-08-30,received,989.79
PO900155,2023-08-26,SUP013,Apex Industrial Components,W4,SKU00002,Fastener - Type 2,1079,0,2023-10-03,,cancelled,22.21
PO900156,2023-08-29,SUP011,Everest Hardware,W3,SKU00026,Hand Tool - Type 1,1639,1277,2023-09-19,2023-09-19,received,523.51
PO900157,2023-08-29,SUP006,Deccan Plumbing Supplies,W3,SKU00130,Bearing - Type 4,1860,1431,2023-09-14,2023-09-14,received,1527.22
PO900158,2023-08-29,SUP003,Precision Bearings Ltd,W1,SKU00138,Bearing - Type 12,1672,1672,2023-10-06,2023-10-06,received,989.79
PO900159,2023-09-01,SUP013,Apex Industrial Components,W3,SKU00003,Fastener - Type 3,51,51,2023-10-09,2023-10-09,received,21.09
PO900160,2023-09-01,SUP004,Voltek Electricals,W3,SKU00005,Fastener - Type 5,863,863,2023-09-21,2023-09-21,received,41.97
PO900161,2023-09-01,SUP005,SafeGuard PPE Manufacturing,W2,SKU00068,Safety Equipment - Type 6,1041,1041,2023-09-29,2023-09-29,received,1088.51
PO900162,2023-09-04,SUP004,Voltek Electricals,W4,SKU00006,Fastener - Type 6,1914,1914,2023-09-24,2023-09-24,received,11.09
PO900163,2023-09-04,SUP007,Titan Tools India,W4,SKU00123,Adhesives & Sealant - Type 15,1248,1248,2023-09-18,2023-09-18,received,459.67
PO900164,2023-09-04,SUP013,Apex Industrial Components,W4,SKU00007,Fastener - Type 7,687,687,2023-10-12,2023-10-12,received,57.01
PO900165,2023-09-07,SUP004,Voltek Electricals,W1,SKU00004,Fastener - Type 4,1631,1631,2023-09-27,2023-09-27,received,12.18
PO900166,2023-09-07,SUP008,Sunrise Adhesives,W1,SKU00019,Electrical Component - Type 7,1582,1582,2023-09-26,2023-09-26,received,358.44
PO900167,2023-09-07,SUP008,Sunrise Adhesives,W2,SKU00021,Electrical Component - Type 9,1306,1306,2023-09-26,2023-09-26,received,720.51
PO900168,2023-09-10,SUP005,SafeGuard PPE Manufacturing,W1,SKU00066,Safety Equipment - Type 4,491,491,2023-10-08,2023-10-08,received,1506.09
PO900169,2023-09-13,SUP010,LumaTech Lighting,W4,SKU00031,Hand Tool - Type 6,1322,1322,2023-10-12,2023-10-16,delayed,209.82
PO900170,2023-09-16,SUP001,Ashoka Steel Works,W1,SKU00136,Bearing - Type 10,1965,1965,2023-10-08,2023-10-08,received,432.85
PO900171,2023-09-16,SUP008,Sunrise Adhesives,W2,SKU00016,Electrical Component - Type 4,1788,1788,2023-10-05,2023-10-05,received,507.08
PO900172,2023-09-16,SUP004,Voltek Electricals,W4,SKU00012,Fastener - Type 12,1603,1603,2023-10-06,2023-10-06,received,21.59
PO900173,2023-09-19,SUP015,Krishna Tools & Dies,W3,SKU00140,Bearing - Type 14,1180,1180,2023-09-26,2023-09-26,received,1893.14
PO900174,2023-09-22,SUP008,Sunrise Adhesives,W4,SKU00018,Electrical Component - Type 6,1574,1574,2023-10-11,2023-10-11,received,516.7
PO900175,2023-09-25,SUP009,National Pipe & Fittings,W4,SKU00107,Pipes & Fitting - Type 14,1770,1770,2023-10-20,2023-10-20,received,529.43
PO900176,2023-09-25,SUP006,Deccan Plumbing Supplies,W2,SKU00134,Bearing - Type 8,492,492,2023-10-11,2023-10-11,received,499.59
PO900177,2023-09-28,SUP007,Titan Tools India,W3,SKU00125,Adhesives & Sealant - Type 17,963,963,2023-10-12,2023-10-12,received,76.43
PO900178,2023-10-01,SUP002,Bharat Fastener Co.,W4,SKU00111,Adhesives & Sealant - Type 3,870,870,2023-11-07,2023-11-08,received,337.6
PO900179,2023-10-04,SUP007,Titan Tools India,W2,SKU00117,Adhesives & Sealant - Type 9,855,855,2023-10-18,2023-10-18,received,168.2
PO900180,2023-10-04,SUP004,Voltek Electricals,W1,SKU00004,Fastener - Type 4,119,119,2023-10-24,2023-10-24,received,12.18
PO900181,2023-10-04,SUP003,Precision Bearings Ltd,W1,SKU00140,Bearing - Type 14,1312,1312,2023-11-11,2023-11-11,received,1893.14
PO900182,2023-10-07,SUP002,Bharat Fastener Co.,W4,SKU00110,Adhesives & Sealant - Type 2,1002,1002,2023-11-13,2023-11-13,received,225.64
PO900183,2023-10-10,SUP006,Deccan Plumbing Supplies,W1,SKU00134,Bearing - Type 8,206,206,2023-10-26,2023-10-26,received,499.59
PO900184,2023-10-10,SUP004,Voltek Electricals,W4,SKU00012,Fastener - Type 12,644,644,2023-10-30,2023-10-30,received,21.59
