order_id,order_date,customer_id,warehouse_id,warehouse_name,product_id,product_name,category,quantity,unit_price,discount_pct,line_total,order_status,promised_ship_date,actual_ship_date,delay_days
8000006,2023-01-02,ACC0105,W2,Chennai Hub,SKU00090,Plumbing Supplie - Type 14,Plumbing Supplies,22,1166.16,6,24116.19,fulfilled,2023-01-05,2023-01-05,0
8000006,2023-01-02,ACC0105,W2,Chennai Hub,SKU00035,Hand Tool - Type 10,Hand Tools,3,1718.57,0,5155.71,fulfilled,2023-01-05,2023-01-05,0
8000007,2023-01-02,ACC0181,W4,Hyderabad DC,SKU00117,Adhesives & Sealant - Type 9,Adhesives & Sealants,5,276.7,0,1383.5,fulfilled,2023-01-09,2023-01-09,0
8000007,2023-01-02,ACC0181,W4,Hyderabad DC,SKU00007,Fastener - Type 7,Fasteners,105,77.56,12,7166.54,fulfilled,2023-01-09,2023-01-09,0
8000008,2023-01-03,ACC0179,W1,Bengaluru North DC,SKU00148,Industrial Lighting - Type 8,Industrial Lighting,4,3789.44,0,15157.76,fulfilled,2023-01-11,2023-01-11,0
8000008,2023-01-03,ACC0179,W1,Bengaluru North DC,SKU00077,Plumbing Supplie - Type 1,Plumbing Supplies,6,1180.82,0,7084.92,fulfilled,2023-01-11,2023-01-11,0
8000009,2023-01-03,ACC0133,W1,Bengaluru North DC,SKU00004,Fastener - Type 4,Fasteners,86,22.05,12,1668.74,fulfilled,2023-01-08,2023-01-08,0
8000009,2023-01-03,ACC0133,W1,Bengaluru North DC,SKU00108,Pipes & Fitting - Type 15,Pipes & Fittings,4,1735.34,0,6941.36,fulfilled,2023-01-08,2023-01-08,0
8000010,2023-01-03,ACC0186,W2,Chennai Hub,SKU00113,Adhesives & Sealant - Type 5,Adhesives & Sealants,9,741.73,0,6675.57,backordered,2023-01-12,2023-01-15,3
8000010,2023-01-03,ACC0186,W2,Chennai Hub,SKU00119,Adhesives & Sealant - Type 11,Adhesives & Sealants,1,461.84,0,461.84,backordered,2023-01-12,2023-01-15,3
8000010,2023-01-03,ACC0186,W2,Chennai Hub,SKU00145,Industrial Lighting - Type 5,Industrial Lighting,5,5606.8,0,28034.0,backordered,2023-01-12,2023-01-15,3
8000010,2023-01-03,ACC0186,W2,Chennai Hub,SKU00069,Safety Equipment - Type 7,Safety Equipment,14,1713.08,0,23983.12,backordered,2023-01-12,2023-01-15,3
8000011,2023-01-03,ACC0151,W2,Chennai Hub,SKU00153,Industrial Lighting - Type 13,Industrial Lighting,6,307.28,0,1843.68,fulfilled,2023-01-11,2023-01-11,0
8000011,2023-01-03,ACC0151,W2,Chennai Hub,SKU00081,Plumbing Supplie - Type 5,Plumbing Supplies,15,1181.35,0,17720.25,fulfilled,2023-01-11,2023-01-11,0
8000012,2023-01-03,ACC0257,W2,Chennai Hub,SKU00146,Industrial Lighting - Type 6,Industrial Lighting,19,5543.2,0,105320.8,fulfilled,2023-01-11,2023-01-11,0
8000012,2023-01-03,ACC0257,W2,Chennai Hub,SKU00142,Industrial Lighting - Type 2,Industrial Lighting,9,2426.5,0,21838.5,fulfilled,2023-01-11,2023-01-11,0
8000012,2023-01-03,ACC0257,W2,Chennai Hub,SKU00094,Pipes & Fitting - Type 1,Pipes & Fittings,9,746.48,0,6718.32,fulfilled,2023-01-11,2023-01-11,0
8000013,2023-01-03,ACC0132,W4,Hyderabad DC,SKU00036,Hand Tool - Type 11,Hand Tools,12,292.64,0,3511.68,fulfilled,2023-01-10,2023-01-10,0
8000013,2023-01-03,ACC0132,W4,Hyderabad DC,SKU00134,Bearing - Type 8,Bearings,188,901.8,12,149193.79,fulfilled,2023-01-10,2023-01-10,0
8000013,2023-01-03,ACC0132,W4,Hyderabad DC,SKU00147,Industrial Lighting - Type 7,Industrial Lighting,13,3998.38,0,51978.94,fulfilled,2023-01-10,2023-01-10,0
8000014,2023-01-03,ACC0208,W4,Hyderabad DC,SKU00046,Power Tool - Type 4,Power Tools,5,14565.72,0,72828.6,fulfilled,2023-01-09,2023-01-09,0
8000014,2023-01-03,ACC0208,W4,Hyderabad DC,SKU00012,Fastener - Type 12,Fasteners,58,34.13,12,1742.0,fulfilled,2023-01-09,2023-01-09,0
8000015,2023-01-04,ACC0184,W3,Pune Regional,SKU00052,Power Tool - Type 10,Power Tools,22,8273.6,6,171098.05,fulfilled,2023-01-07,2023-01-07,0
8000015,2023-01-04,ACC0184,W3,Pune Regional,SKU00050,Power Tool - Type 8,Power Tools,6,7320.1,0,43920.6,fulfilled,2023-01-07,2023-01-07,0
8000015,2023-01-04,ACC0184,W3,Pune Regional,SKU00117,Adhesives & Sealant - Type 9,Adhesives & Sealants,13,276.7,0,3597.1,fulfilled,2023-01-07,2023-01-07,0
8000015,2023-01-04,ACC0184,W3,Pune Regional,SKU00012,Fastener - Type 12,Fasteners,12,34.13,0,409.56,fulfilled,2023-01-07,2023-01-07,0
8000016,2023-01-04,ACC0023,W4,Hyderabad DC,SKU00070,Safety Equipment - Type 8,Safety Equipment,24,177.24,6,3998.53,fulfilled,2023-01-12,2023-01-12,0
8000016,2023-01-04,ACC0023,W4,Hyderabad DC,SKU00009,Fastener - Type 9,Fasteners,62,46.96,12,2562.14,fulfilled,2023-01-12,2023-01-12,0
8000017,2023-01-04,ACC0113,W4,Hyderabad DC,SKU00091,Plumbing Supplie - Type 15,Plumbing Supplies,23,240.33,6,5195.93,fulfilled,2023-01-12,2023-01-12,0
8000017,2023-01-04,ACC0113,W4,Hyderabad DC,SKU00143,Industrial Lighting - Type 3,Industrial Lighting,17,1870.01,0,31790.17,fulfilled,2023-01-12,2023-01-12,0
8000018,2023-01-04,ACC0086,W4,Hyderabad DC,SKU00095,Pipes & Fitting - Type 2,Pipes & Fittings,18,1460.27,0,26284.86,fulfilled,2023-01-06,2023-01-06,0
8000018,2023-01-04,ACC0086,W4,Hyderabad DC,SKU00142,Industrial Lighting - Type 2,Industrial Lighting,6,2426.5,0,14559.0,fulfilled,2023-01-06,2023-01-06,0
8000018,2023-01-04,ACC0086,W4,Hyderabad DC,SKU00155,Industrial Lighting - Type 15,Industrial Lighting,24,718.6,6,16211.62,fulfilled,2023-01-06,2023-01-06,0
8000018,2023-01-04,ACC0086,W4,Hyderabad DC,SKU00112,Adhesives & Sealant - Type 4,Adhesives & Sealants,3,370.09,0,1110.27,fulfilled,2023-01-06,2023-01-06,0
8000019,2023-01-05,ACC0230,W1,Bengaluru North DC,SKU00083,Plumbing Supplie - Type 7,Plumbing Supplies,7,393.12,0,2751.84,fulfilled,2023-01-09,2023-01-09,0
8000019,2023-01-05,ACC0230,W1,Bengaluru North DC,SKU00023,Electrical Component - Type 11,Electrical Components,7,562.11,0,3934.77,fulfilled,2023-01-09,2023-01-09,0
8000019,2023-01-05,ACC0230,W1,Bengaluru North DC,SKU00127,Bearing - Type 1,Bearings,26,560.22,6,13691.78,fulfilled,2023-01-09,2023-01-09,0
8000019,2023-01-05,ACC0230,W1,Bengaluru North DC,SKU00039,Hand Tool - Type 14,Hand Tools,1,1122.18,0,1122.18,fulfilled,2023-01-09,2023-01-09,0
8000020,2023-01-05,ACC0036,W2,Chennai Hub,SKU00044,Power Tool - Type 2,Power Tools,6,20335.94,0,122015.64,fulfilled,2023-01-14,2023-01-14,0
8000020,2023-01-05,ACC0036,W2,Chennai Hub,SKU00106,Pipes & Fitting - Type 13,Pipes & Fittings,7,1198.61,0,8390.27,fulfilled,2023-01-14,2023-01-14,0
8000021,2023-01-05,ACC0034,W3,Pune Regional,SKU00032,Hand Tool - Type 7,Hand Tools,16,2125.62,0,34009.92,fulfilled,2023-01-09,2023-01-09,0
8000022,2023-01-06,ACC0181,W1,Bengaluru North DC,SKU00134,Bearing - Type 8,Bearings,108,901.8,12,85707.07,fulfilled,2023-01-09,2023-01-09,0
8000023,2023-01-06,ACC0019,W1,Bengaluru North DC,SKU00129,Bearing - Type 3,Bearings,164,1846.78,12,266527.29,fulfilled,2023-01-13,2023-01-13,0
8000023,2023-01-06,ACC0019,W1,Bengaluru North DC,SKU00080,Plumbing Supplie - Type 4,Plumbing Supplies,3,715.42,0,2146.26,fulfilled,2023-01-13,2023-01-13,0
8000023,2023-01-06,ACC0019,W1,Bengaluru North DC,SKU00121,Adhesives & Sealant - Type 13,Adhesives & Sealants,2,390.68,0,781.36,fulfilled,2023-01-13,2023-01-13,0
8000023,2023-01-06,ACC0019,W1,Bengaluru North DC,SKU00035,Hand Tool - Type 10,Hand Tools,7,1718.57,0,12029.99,fulfilled,2023-01-13,2023-01-13,0
8000024,2023-01-06,ACC0163,W2,Chennai Hub,SKU00084,Plumbing Supplie - Type 8,Plumbing Supplies,24,439.58,6,9916.92,fulfilled,2023-01-13,2023-01-13,0
8000025,2023-01-07,ACC0076,W1,Bengaluru North DC,SKU00042,Hand Tool - Type 17,Hand Tools,23,1281.72,6,27710.79,fulfilled,2023-01-14,2023-01-14,0
8000025,2023-01-07,ACC0076,W1,Bengaluru North DC,SKU00154,Industrial Lighting - Type 14,Industrial Lighting,9,4701.52,0,42313.68,fulfilled,2023-01-14,2023-01-14,0
8000025,2023-01-07,ACC0076,W1,Bengaluru North DC,SKU00026,Hand Tool - Type 1,Hand Tools,8,727.36,0,5818.88,fulfilled,2023-01-14,2023-01-14,0
8000026,2023-01-07,ACC0144,W2,Chennai Hub,SKU00145,Industrial Lighting - Type 5,Industrial Lighting,21,5606.8,6,110678.23,fulfilled,2023-01-11,2023-01-11,0
8000026,2023-01-07,ACC0144,W2,Chennai Hub,SKU00140,Bearing - Type 14,Bearings,22,2615.63,6,54091.23,fulfilled,2023-01-11,2023-01-11,0
8000027,2023-01-07,ACC0002,W2,Chennai Hub,SKU00095,Pipes & Fitting - Type 2,Pipes & Fittings,1,1460.27,0,1460.27,fulfilled,2023-01-12,2023-01-12,0
8000027,2023-01-07,ACC0002,W2,Chennai Hub,SKU00156,Industrial Lighting - Type 16,Industrial Lighting,18,4831.84,0,86973.12,fulfilled,2023-01-12,2023-01-12,0
8000028,2023-01-07,ACC0184,W3,Pune Regional,SKU00066,Safety Equipment - Type 4,Safety Equipment,23,2275.12,6,49188.09,fulfilled,2023-01-14,2023-01-14,0
8000028,2023-01-07,ACC0184,W3,Pune Regional,SKU00063,Safety Equipment - Type 1,Safety Equipment,1,2262.8,0,2262.8,fulfilled,2023-01-14,2023-01-14,0
8000029,2023-01-07,ACC0227,W3,Pune Regional,SKU00008,Fastener - Type 8,Fasteners,78,62.82,12,4311.96,fulfilled,2023-01-11,2023-01-11,0
8000029,2023-01-07,ACC0227,W3,Pune Regional,SKU00117,Adhesives & Sealant - Type 9,Adhesives & Sealants,15,276.7,0,4150.5,fulfilled,2023-01-11,2023-01-11,0
8000030,2023-01-08,ACC0242,W1,Bengaluru North DC,SKU00018,Electrical Component - Type 6,Electrical Components,10,910.47,0,9104.7,fulfilled,2023-01-17,2023-01-17,0
8000030,2023-01-08,ACC0242,W1,Bengaluru North DC,SKU00032,Hand Tool - Type 7,Hand Tools,17,2125.62,0,36135.54,fulfilled,2023-01-17,2023-01-17,0
8000030,2023-01-08,ACC0242,W1,Bengaluru North DC,SKU00099,Pipes & Fitting - Type 6,Pipes & Fittings,11,804.31,0,8847.41,fulfilled,2023-01-17,2023-01-17,0
8000030,2023-01-08,ACC0242,W1,Bengaluru North DC,SKU00063,Safety Equipment - Type 1,Safety Equipment,10,2262.8,0,22628.0,fulfilled,2023-01-17,2023-01-17,0
8000031,2023-01-08,ACC0149,W2,Chennai Hub,SKU00038,Hand Tool - Type 13,Hand Tools,9,298.46,0,2686.14,fulfilled,2023-01-10,2023-01-10,0
8000031,2023-01-08,ACC0149,W2,Chennai Hub,SKU00068,Safety Equipment - Type 6,Safety Equipment,23,1681.02,6,36343.65,fulfilled,2023-01-10,2023-01-10,0
8000031,2023-01-08,ACC0149,W2,Chennai Hub,SKU00066,Safety Equipment - Type 4,Safety Equipment,6,2275.12,0,13650.72,fulfilled,2023-01-10,2023-01-10,0
8000032,2023-01-08,ACC0003,W3,Pune Regional,SKU00151,Industrial Lighting - Type 11,Industrial Lighting,7,3058.25,0,21407.75,fulfilled,2023-01-11,2023-01-11,0
8000033,2023-01-08,ACC0224,W3,Pune Regional,SKU00015,Electrical Component - Type 3,Electrical Components,19,817.18,0,15526.42,fulfilled,2023-01-17,2023-01-17,0
8000033,2023-01-08,ACC0224,W3,Pune Regional,SKU00114,Adhesives & Sealant - Type 6,Adhesives & Sealants,5,404.68,0,2023.4,fulfilled,2023-01-17,2023-01-17,0
8000034,2023-01-08,ACC0051,W4,Hyderabad DC,SKU00002,Fastener - Type 2,Fasteners,11,34.69,0,381.59,fulfilled,2023-01-15,2023-01-15,0
8000034,2023-01-08,ACC0051,W4,Hyderabad DC,SKU00077,Plumbing Supplie - Type 1,Plumbing Supplies,22,1180.82,6,24419.36,fulfilled,2023-01-15,2023-01-15,0
8000034,2023-01-08,ACC0051,W4,Hyderabad DC,SKU00129,Bearing - Type 3,Bearings,28,1846.78,6,48607.25,fulfilled,2023-01-15,2023-01-15,0
8000034,2023-01-08,ACC0051,W4,Hyderabad DC,SKU00059,Power Tool - Type 17,Power Tools,17,11574.75,0,196770.75,fulfilled,2023-01-15,2023-01-15,0
8000034,2023-01-08,ACC0051,W4,Hyderabad DC,SKU00022,Electrical Component - Type 10,Electrical Components,9,593.81,0,5344.29,fulfilled,2023-01-15,2023-01-15,0
8000035,2023-01-08,ACC0172,W4,Hyderabad DC,SKU00112,Adhesives & Sealant - Type 4,Adhesives & Sealants,4,370.09,0,1480.36,fulfilled,2023-01-12,2023-01-12,0
8000036,2023-01-08,ACC0252,W4,Hyderabad DC,SKU00039,Hand Tool - Type 14,Hand Tools,19,1122.18,0,21321.42,fulfilled,2023-01-11,2023-01-11,0
8000037,2023-01-08,ACC0219,W4,Hyderabad DC,SKU00141,Industrial Lighting - Type 1,Industrial Lighting,2,4985.03,0,9970.06,fulfilled,2023-01-13,2023-01-13,0
8000037,2023-01-08,ACC0219,W4,Hyderabad DC,SKU00106,Pipes & Fitting - Type 13,Pipes & Fittings,14,1198.61,0,16780.54,fulfilled,2023-01-13,2023-01-13,0
8000037,2023-01-08,ACC0219,W4,Hyderabad DC,SKU00019,Electrical Component - Type 7,Electrical Components,3,501.08,0,1503.24,fulfilled,2023-01-13,2023-01-13,0
8000038,2023-01-09,ACC0101,W1,Bengaluru North DC,SKU00039,Hand Tool - Type 14,Hand Tools,6,1122.18,0,6733.08,fulfilled,2023-01-14,2023-01-14,0
8000039,2023-01-09,ACC0256,W2,Chennai Hub,SKU00050,Power Tool - Type 8,Power Tools,6,7320.1,0,43920.6,fulfilled,2023-01-12,2023-01-12,0
8000039,2023-01-09,ACC0256,W2,Chennai Hub,SKU00062,Power Tool - Type 20,Power Tools,6,19814.89,0,118889.34,fulfilled,2023-01-12,2023-01-12,0
8000040,2023-01-09,ACC0022,W2,Chennai Hub,SKU00106,Pipes & Fitting - Type 13,Pipes & Fittings,14,1198.61,0,16780.54,fulfilled,2023-01-13,2023-01-13,0
8000041,2023-01-09,ACC0236,W3,Pune Regional,SKU00153,Industrial Lighting - Type 13,Industrial Lighting,4,307.28,0,1229.12,fulfilled,2023-01-16,2023-01-16,0
8000042,2023-01-09,ACC0097,W4,Hyderabad DC,SKU00102,Pipes & Fitting - Type 9,Pipes & Fittings,6,1201.61,0,7209.66,fulfilled,2023-01-16,2023-01-16,0
8000043,2023-01-10,ACC0097,W1,Bengaluru North DC,SKU00151,Industrial Lighting - Type 11,Industrial Lighting,10,3058.25,0,30582.5,fulfilled,2023-01-17,2023-01-17,0
8000043,2023-01-10,ACC0097,W1,Bengaluru North DC,SKU00105,Pipes & Fitting - Type 12,Pipes & Fittings,16,1859.26,0,29748.16,fulfilled,2023-01-17,2023-01-17,0
8000044,2023-01-10,ACC0089,W1,Bengaluru North DC,SKU00076,Safety Equipment - Type 14,Safety Equipment,11,1491.57,0,16407.27,fulfilled,2023-01-19,2023-01-20,1
8000045,2023-01-10,ACC0079,W3,Pune Regional,SKU00091,Plumbing Supplie - Type 15,Plumbing Supplies,15,240.33,0,3604.95,fulfilled,2023-01-16,2023-01-16,0
8000045,2023-01-10,ACC0079,W3,Pune Regional,SKU00119,Adhesives & Sealant - Type 11,Adhesives & Sealants,5,461.84,0,2309.2,fulfilled,2023-01-16,2023-01-16,0
8000045,2023-01-10,ACC0079,W3,Pune Regional,SKU00077,Plumbing Supplie - Type 1,Plumbing Supplies,13,1180.82,0,15350.66,fulfilled,2023-01-16,2023-01-16,0
8000046,2023-01-10,ACC0259,W3,Pune Regional,SKU00025,Electrical Component - Type 13,Electrical Components,20,657.24,0,13144.8,fulfilled,2023-01-12,2023-01-12,0
8000046,2023-01-10,ACC0259,W3,Pune Regional,SKU00068,Safety Equipment - Type 6,Safety Equipment,1,1681.02,0,1681.02,fulfilled,2023-01-12,2023-01-12,0
8000047,2023-01-10,ACC0089,W4,Hyderabad DC,SKU00029,Hand Tool - Type 4,Hand Tools,10,2473.71,0,24737.1,fulfilled,2023-01-17,2023-01-17,0
8000047,2023-01-10,ACC0089,W4,Hyderabad DC,SKU00123,Adhesives & Sealant - Type 15,Adhesives & Sealants,23,773.18,6,16716.15,fulfilled,2023-01-17,2023-01-17,0
8000047,2023-01-10,ACC0089,W4,Hyderabad DC,SKU00107,Pipes & Fitting - Type 14,Pipes & Fittings,2,774.0,0,1548.0,fulfilled,2023-01-17,2023-01-17,0
8000048,2023-01-11,ACC0211,W2,Chennai Hub,SKU00043,Power Tool - Type 1,Power Tools,6,7378.01,0,44268.06,fulfilled,2023-01-18,2023-01-18,0
8000049,2023-01-11,ACC0257,W3,Pune Regional,SKU00034,Hand Tool - Type 9,Hand Tools,2,481.0,0,962.0,fulfilled,2023-01-16,2023-01-16,0
8000050,2023-01-11,ACC0085,W3,Pune Regional,SKU00125,Adhesives & Sealant - Type 17,Adhesives & Sealants,1,105.05,0,105.05,fulfilled,2023-01-14,2023-01-14,0
8000050,2023-01-11,ACC0085,W3,Pune Regional,SKU00098,Pipes & Fitting - Type 5,Pipes & Fittings,21,1469.86,6,29015.04,fulfilled,2023-01-14,2023-01-14,0
8000051,2023-01-11,ACC0226,W3,Pune Regional,SKU00025,Electrical Component - Type 13,Electrical Components,23,657.24,6,14209.53,fulfilled,2023-01-13,2023-01-13,0
8000051,2023-01-11,ACC0226,W3,Pune Regional,SKU00066,Safety Equipment - Type 4,Safety Equipment,13,2275.12,0,29576.56,fulfilled,2023-01-13,2023-01-13,0
8000051,2023-01-11,ACC0226,W3,Pune Regional,SKU00027,Hand Tool - Type 2,Hand Tools,5,1514.59,0,7572.95,fulfilled,2023-01-13,2023-01-13,0
8000051,2023-01-11,ACC0226,W3,Pune Regional,SKU00119,Adhesives & Sealant - Type 11,Adhesives & Sealants,13,461.84,0,6003.92,fulfilled,2023-01-13,2023-01-13,0
8000052,2023-01-11,ACC0059,W3,Pune Regional,SKU00017,Electrical Component - Type 5,Electrical Components,17,1199.75,0,20395.75,fulfilled,2023-01-18,2023-01-18,0
8000053,2023-01-11,ACC0196,W3,Pune Regional,SKU00094,Pipes & Fitting - Type 1,Pipes & Fittings,21,746.48,6,14735.52,fulfilled,2023-01-15,2023-01-15,0
8000053,2023-01-11,ACC0196,W3,Pune Regional,SKU00015,Electrical Component - Type 3,Electrical Components,11,817.18,0,8988.98,fulfilled,2023-01-15,2023-01-15,0
8000053,2023-01-11,ACC0196,W3,Pune Regional,SKU00097,Pipes & Fitting - Type 4,Pipes & Fittings,22,915.23,6,18926.96,fulfilled,2023-01-15,2023-01-15,0
8000053,2023-01-11,ACC0196,W3,Pune Regional,SKU00130,Bearing - Type 4,Bearings,151,2443.18,12,324649.76,fulfilled,2023-01-15,2023-01-15,0
8000053,2023-01-11,ACC0196,W3,Pune Regional,SKU00081,Plumbing Supplie - Type 5,Plumbing Supplies,7,1181.35,0,8269.45,fulfilled,2023-01-15,2023-01-15,0
8000054,2023-01-12,ACC0257,W1,Bengaluru North DC,SKU00009,Fastener - Type 9,Fasteners,73,46.96,12,3016.71,fulfilled,2023-01-20,2023-01-20,0
8000055,2023-01-12,ACC0134,W3,Pune Regional,SKU00017,Electrical Component - Type 5,Electrical Components,18,1199.75,0,21595.5,fulfilled,2023-01-17,2023-01-17,0
8000055,2023-01-12,ACC0134,W3,Pune Regional,SKU00011,Fastener - Type 11,Fasteners,44,53.28,6,2203.66,fulfilled,2023-01-17,2023-01-17,0
8000055,2023-01-12,ACC0134,W3,Pune Regional,SKU00144,Industrial Lighting - Type 4,Industrial Lighting,2,1271.56,0,2543.12,fulfilled,2023-01-17,2023-01-17,0
8000056,2023-01-13,ACC0075,W1,Bengaluru North DC,SKU00105,Pipes & Fitting - Type 12,Pipes & Fittings,22,1859.26,6,38449.5,fulfilled,2023-01-18,2023-01-18,0
8000057,2023-01-13,ACC0043,W1,Bengaluru North DC,SKU00076,Safety Equipment - Type 14,Safety Equipment,23,1491.57,6,32247.74,fulfilled,2023-01-19,2023-01-19,0
8000058,2023-01-13,ACC0142,W2,Chennai Hub,SKU00105,Pipes & Fitting - Type 12,Pipes & Fittings,9,1859.26,0,16733.34,fulfilled,2023-01-16,2023-01-16,0
8000058,2023-01-13,ACC0142,W2,Chennai Hub,SKU00081,Plumbing Supplie - Type 5,Plumbing Supplies,4,1181.35,0,4725.4,fulfilled,2023-01-16,2023-01-16,0
8000058,2023-01-13,ACC0142,W2,Chennai Hub,SKU00153,Industrial Lighting - Type 13,Industrial Lighting,4,307.28,0,1229.12,fulfilled,2023-01-16,2023-01-16,0
8000059,2023-01-13,ACC0256,W2,Chennai Hub,SKU00139,Bearing - Type 13,Bearings,88,3242.38,12,251089.91,fulfilled,2023-01-21,2023-01-21,0
8000059,2023-01-13,ACC0256,W2,Chennai Hub,SKU00081,Plumbing Supplie - Type 5,Plumbing Supplies,10,1181.35,0,11813.5,fulfilled,2023-01-21,2023-01-21,0
8000060,2023-01-13,ACC0121,W3,Pune Regional,SKU00085,Plumbing Supplie - Type 9,Plumbing Supplies,10,813.48,0,8134.8,fulfilled,2023-01-21,2023-01-21,0
8000060,2023-01-13,ACC0121,W3,Pune Regional,SKU00020,Electrical Component - Type 8,Electrical Components,8,1070.42,0,8563.36,fulfilled,2023-01-21,2023-01-21,0
8000060,2023-01-13,ACC0121,W3,Pune Regional,SKU00074,Safety Equipment - Type 12,Safety Equipment,23,1813.35,6,39204.63,fulfilled,2023-01-21,2023-01-21,0
8000061,2023-01-13,ACC0192,W4,Hyderabad DC,SKU00050,Power Tool - Type 8,Power Tools,14,7320.1,0,102481.4,fulfilled,2023-01-21,2023-01-21,0
8000061,2023-01-13,ACC0192,W4,Hyderabad DC,SKU00067,Safety Equipment - Type 5,Safety Equipment,23,1359.27,6,29387.42,fulfilled,2023-01-21,2023-01-21,0
8000061,2023-01-13,ACC0192,W4,Hyderabad DC,SKU00011,Fastener - Type 11,Fasteners,20,53.28,0,1065.6,fulfilled,2023-01-21,2023-01-21,0
8000061,2023-01-13,ACC0192,W4,Hyderabad DC,SKU00091,Plumbing Supplie - Type 15,Plumbing Supplies,3,240.33,0,720.99,fulfilled,2023-01-21,2023-01-21,0
8000062,2023-01-14,ACC0113,W2,Chennai Hub,SKU00097,Pipes & Fitting - Type 4,Pipes & Fittings,5,915.23,0,4576.15,fulfilled,2023-01-20,2023-01-20,0
8000062,2023-01-14,ACC0113,W2,Chennai Hub,SKU00004,Fastener - Type 4,Fasteners,183,22.05,12,3550.93,fulfilled,2023-01-20,2023-01-20,0
8000062,2023-01-14,ACC0113,W2,Chennai Hub,SKU00017,Electrical Component - Type 5,Electrical Components,22,1199.75,6,24810.83,fulfilled,2023-01-20,2023-01-20,0
8000062,2023-01-14,ACC0113,W2,Chennai Hub,SKU00100,Pipes & Fitting - Type 7,Pipes & Fittings,7,781.33,0,5469.31,fulfilled,2023-01-20,2023-01-20,0
8000062,2023-01-14,ACC0113,W2,Chennai Hub,SKU00137,Bearing - Type 11,Bearings,189,1134.52,12,188693.37,fulfilled,2023-01-20,2023-01-20,0
8000063,2023-01-14,ACC0008,W4,Hyderabad DC,SKU00133,Bearing - Type 7,Bearings,83,130.45,12,9528.07,fulfilled,2023-01-21,2023-01-21,0
